model,version,table,field,required,ref_table,ref_field,type
i2b2,v1.7,visit_dimension,active_status_cd,No,,,string
i2b2,v1.7,visit_dimension,download_date,No,,,timestamp
i2b2,v1.7,visit_dimension,encounter_num,Yes,,,integer
i2b2,v1.7,visit_dimension,end_date,No,,,timestamp
i2b2,v1.7,visit_dimension,import_date,No,,,timestamp
i2b2,v1.7,visit_dimension,inout_cd,No,,,string
i2b2,v1.7,visit_dimension,length_of_stay,No,,,integer
i2b2,v1.7,visit_dimension,location_cd,No,,,string
i2b2,v1.7,visit_dimension,location_path,No,,,string
i2b2,v1.7,visit_dimension,patient_num,Yes,patient_dimension,patient_num,integer
i2b2,v1.7,visit_dimension,sourcesystem_cd,No,,,string
i2b2,v1.7,visit_dimension,start_date,No,,,timestamp
i2b2,v1.7,visit_dimension,update_date,No,,,timestamp
i2b2,v1.7,visit_dimension,upload_id,No,,,integer
i2b2,v1.7,visit_dimension,visit_blob,No,,,string
